Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
630.00	0.35278	0.0037910	0.28633	0.0032490	0.20886	0.0027370	0.29637	0.0036370
635.00	0.35498	0.0038330	0.28790	0.0034040	0.20995	0.0027750	0.29809	0.0034610
640.00	0.35622	0.0037100	0.28922	0.0033880	0.21131	0.0025250	0.29945	0.0035160
645.00	0.35829	0.0037890	0.29079	0.0032910	0.21273	0.0020740	0.30060	0.0032730
650.00	0.35995	0.0039440	0.29212	0.0034640	0.21412	0.0022390	0.30196	0.0035890
655.00	0.36160	0.0039520	0.29362	0.0034210	0.21550	0.0021070	0.30306	0.0037700
660.00	0.36325	0.0040210	0.29496	0.0035470	0.21668	0.0022300	0.30409	0.0037820
665.00	0.36510	0.0039530	0.29637	0.0034440	0.21771	0.0022550	0.30516	0.0039570
670.00	0.36668	0.0040710	0.29770	0.0036100	0.21849	0.0022330	0.30602	0.0039700
675.00	0.36847	0.0039710	0.29926	0.0034540	0.21917	0.0022820	0.30678	0.0043370
680.00	0.37005	0.0039430	0.30066	0.0034700	0.22005	0.0022820	0.30792	0.0042990
685.00	0.37196	0.0040760	0.30209	0.0035640	0.22097	0.0022760	0.30967	0.0037800
690.00	0.37350	0.0040860	0.30360	0.0035650	0.22188	0.0022650	0.31092	0.0037290
695.00	0.37517	0.0040790	0.30489	0.0035360	0.22304	0.0024320	0.31220	0.0042640
700.00	0.37696	0.0042230	0.30653	0.0036790	0.22425	0.0025370	0.31331	0.0043970
705.00	0.37839	0.0041020	0.30796	0.0036410	0.22519	0.0023520	0.31459	0.0040540
710.00	0.38020	0.0041730	0.30961	0.0037100	0.22612	0.0023280	0.31573	0.0038550
715.00	0.38160	0.0042800	0.31060	0.0037060	0.22715	0.0024350	0.31686	0.0045950
720.00	0.38306	0.0043030	0.31212	0.0037600	0.22798	0.0025160	0.31786	0.0046420
725.00	0.38393	0.0043560	0.31321	0.0037270	0.22884	0.0025130	0.31887	0.0041030
730.00	0.38542	0.0042410	0.31453	0.0037190	0.22985	0.0024910	0.32006	0.0041120
735.00	0.38702	0.0042490	0.31596	0.0037680	0.23077	0.0025100	0.32069	0.0041760
740.00	0.38853	0.0045080	0.31702	0.0037920	0.23169	0.0024920	0.32194	0.0043760
745.00	0.38989	0.0044250	0.31830	0.0038950	0.23259	0.0024920	0.32331	0.0045400
750.00	0.39115	0.0043580	0.31923	0.0038240	0.23363	0.0025810	0.32425	0.0044830
755.00	0.39248	0.0044290	0.32068	0.0038270	0.23484	0.0026420	0.32551	0.0041030
760.00	0.39419	0.0043110	0.32175	0.0038080	0.23618	0.0026530	0.32686	0.0039940
765.00	0.39582	0.0044920	0.32307	0.0038240	0.23746	0.0026770	0.32706	0.0042530
770.00	0.39695	0.0045420	0.32405	0.0037790	0.23870	0.0025880	0.32767	0.0042160
775.00	0.39806	0.0044760	0.32502	0.0039370	0.23956	0.0026830	0.32857	0.0046470
780.00	0.39943	0.0045260	0.32582	0.0039280	0.24018	0.0025330	0.32905	0.0046410
785.00	0.40065	0.0045600	0.32651	0.0037840	0.24069	0.0025000	0.32983	0.0047760
790.00	0.40176	0.0047850	0.32710	0.0040370	0.24118	0.0025810	0.33023	0.0051320
795.00	0.40273	0.0046650	0.32800	0.0039530	0.24156	0.0025710	0.33123	0.0050180
800.00	0.40326	0.0048890	0.32821	0.0042030	0.24160	0.0033350	0.33182	0.0058910
805.00	0.40468	0.0050360	0.32913	0.0043060	0.24237	0.0033020	0.33297	0.0057040
