Wavelength	61141<10	sd	61141 10-20	sd	61141 20-45	sd	61141 <45	sd
300.00	0.085094	0.084395	0.067225	0.083723	0.050431	0.082827	0.072402	0.083998
305.00	0.088280	0.056731	0.069359	0.056395	0.054260	0.056077	0.075342	0.056682
310.00	0.090670	0.040886	0.072261	0.041174	0.056157	0.041270	0.080165	0.041102
315.00	0.092292	0.030595	0.073531	0.030935	0.056851	0.031333	0.080264	0.030812
320.00	0.093072	0.023940	0.074636	0.023890	0.059633	0.024134	0.081233	0.023899
325.00	0.095422	0.019008	0.075486	0.019160	0.059634	0.019147	0.083602	0.019130
330.00	0.096462	0.015569	0.076568	0.015512	0.060041	0.015664	0.084083	0.015436
335.00	0.098251	0.013064	0.077497	0.012712	0.061543	0.012788	0.085054	0.012873
340.00	0.10056	0.010766	0.079167	0.010756	0.061785	0.010519	0.086388	0.010723
345.00	0.10123	0.0088890	0.080789	0.0089140	0.062461	0.0089380	0.087785	0.0088330
350.00	0.10382	0.0077260	0.082022	0.0072950	0.063410	0.0074590	0.088983	0.0075020
355.00	0.10588	0.0065740	0.083122	0.0063510	0.063981	0.0061760	0.091092	0.0063970
360.00	0.10895	0.0056600	0.085157	0.0054210	0.064493	0.0053390	0.093068	0.0054260
365.00	0.11118	0.0049600	0.087062	0.0046870	0.065159	0.0046150	0.095562	0.0046520
370.00	0.11362	0.0045700	0.088814	0.0041250	0.066353	0.0039930	0.097193	0.0040810
375.00	0.11612	0.0042200	0.090206	0.0035960	0.067843	0.0036210	0.099124	0.0037320
380.00	0.11898	0.0039640	0.091771	0.0034440	0.069127	0.0033510	0.10096	0.0034960
385.00	0.12137	0.0039530	0.093627	0.0034360	0.069979	0.0033310	0.10308	0.0034910
390.00	0.12345	0.0043270	0.094937	0.0037420	0.071294	0.0036980	0.10566	0.0038540
395.00	0.12655	0.0052160	0.097073	0.0047090	0.072285	0.0046650	0.10796	0.0048010
400.00	0.12887	0.0032530	0.098728	0.0022790	0.073003	0.0021480	0.10884	0.0023280
405.00	0.13163	0.0030230	0.10037	0.0019400	0.074258	0.0017510	0.11006	0.0020080
410.00	0.13357	0.0030430	0.10179	0.0017210	0.075207	0.0014840	0.11229	0.0018560
415.00	0.13609	0.0029160	0.10321	0.0014920	0.076320	0.0013080	0.11381	0.0016500
420.00	0.13827	0.0027810	0.10481	0.0014540	0.077008	0.0011870	0.11565	0.0015990
425.00	0.14096	0.0028570	0.10651	0.0013810	0.078553	0.0011530	0.11748	0.0015480
430.00	0.14313	0.0025300	0.10800	0.0013520	0.079709	0.0011020	0.11934	0.0014550
435.00	0.14562	0.0024580	0.10946	0.0013510	0.080183	0.0010440	0.12104	0.0015470
440.00	0.14794	0.0025550	0.11114	0.0013730	0.080970	0.0010480	0.12261	0.0015340
445.00	0.14983	0.0026510	0.11239	0.0013290	0.082089	0.0010140	0.12420	0.0015450
450.00	0.15235	0.0025230	0.11393	0.0013520	0.082762	0.00094500	0.12555	0.0015730
455.00	0.15408	0.0024830	0.11528	0.0012990	0.083611	0.00090700	0.12714	0.0016200
460.00	0.15625	0.0027510	0.11670	0.0013970	0.084122	0.00094000	0.12828	0.0016970
465.00	0.15822	0.0026760	0.11797	0.0012920	0.084701	0.00090100	0.13003	0.0014860
470.00	0.16027	0.0029620	0.11942	0.0013260	0.085537	0.00092700	0.13128	0.0015210
475.00	0.16214	0.0029150	0.12080	0.0012730	0.086690	0.00096100	0.13272	0.0013220
480.00	0.16442	0.0028500	0.12224	0.0013740	0.087725	0.0011160	0.13417	0.0014770
485.00	0.16612	0.0027940	0.12347	0.0013390	0.088798	0.0010530	0.13543	0.0014020
490.00	0.16832	0.0027810	0.12492	0.0013430	0.089675	0.0010790	0.13683	0.0014000
495.00	0.17017	0.0028440	0.12624	0.0013780	0.090406	0.0010700	0.13820	0.0015430
500.00	0.17214	0.0026120	0.12759	0.0013800	0.091057	0.0010890	0.13947	0.0015350
505.00	0.17422	0.0026550	0.12892	0.0013950	0.092236	0.0010650	0.14094	0.0017300
510.00	0.17613	0.0026110	0.13028	0.0014050	0.092929	0.0010470	0.14218	0.0017310
515.00	0.17823	0.0027050	0.13170	0.0014170	0.094180	0.0011160	0.14366	0.0018780
520.00	0.17989	0.0025150	0.13293	0.0014630	0.095087	0.0011520	0.14485	0.0019250
525.00	0.18218	0.0025350	0.13440	0.0014700	0.095867	0.0012160	0.14595	0.0018860
530.00	0.18335	0.0024610	0.13541	0.0014210	0.096675	0.0012020	0.14790	0.0019300
535.00	0.18601	0.0024610	0.13700	0.0014210	0.097733	0.0012550	0.14885	0.0018950
540.00	0.18706	0.0025890	0.13785	0.0015110	0.098701	0.0013340	0.15070	0.0020600
545.00	0.18957	0.0024840	0.13933	0.0015010	0.099599	0.0013490	0.15164	0.0017490
550.00	0.19085	0.0029360	0.14035	0.0014740	0.10054	0.0013950	0.15340	0.0017370
555.00	0.19298	0.0029020	0.14166	0.0014820	0.10065	0.0012620	0.15435	0.0018140
560.00	0.19410	0.0027780	0.14271	0.0015170	0.10146	0.0012900	0.15589	0.0018610
565.00	0.19617	0.0029020	0.14407	0.0015220	0.10143	0.0012550	0.15658	0.0021490
570.00	0.19745	0.0025980	0.14520	0.0015330	0.10204	0.0012210	0.15818	0.0021770
575.00	0.19939	0.0027050	0.14639	0.0015580	0.10257	0.0013310	0.15915	0.0022590
580.00	0.20064	0.0026710	0.14742	0.0015450	0.10313	0.0012970	0.16026	0.0022620
585.00	0.20244	0.0026890	0.14864	0.0015760	0.10376	0.0012810	0.16145	0.0022100
590.00	0.20402	0.0030150	0.14971	0.0015670	0.10441	0.0012990	0.16251	0.0021520
595.00	0.20522	0.0029380	0.15070	0.0015660	0.10548	0.0013330	0.16362	0.0019960
600.00	0.20719	0.0030320	0.15203	0.0015910	0.10612	0.0014370	0.16454	0.0019810
605.00	0.20869	0.0031010	0.15311	0.0015920	0.10701	0.0016110	0.16555	0.0020130
610.00	0.21048	0.0030660	0.15434	0.0015610	0.10785	0.0017040	0.16676	0.0020200
615.00	0.21169	0.0030580	0.15536	0.0016200	0.10884	0.0015580	0.16827	0.0019270
620.00	0.21362	0.0032650	0.15648	0.0015970	0.10974	0.0015790	0.16927	0.0019210
625.00	0.21478	0.0032920	0.15756	0.0016240	0.11077	0.0014920	0.17060	0.0017150
630.00	0.21661	0.0031890	0.15867	0.0016540	0.11127	0.0016270	0.17182	0.0017400
635.00	0.21792	0.0031570	0.15972	0.0016510	0.11145	0.0014810	0.17305	0.0020950
640.00	0.21933	0.0030830	0.16078	0.0016910	0.11195	0.0016100	0.17367	0.0021550
645.00	0.22074	0.0030860	0.16178	0.0017130	0.11233	0.0016610	0.17507	0.0022240
650.00	0.22227	0.0031130	0.16291	0.0017440	0.11296	0.0016800	0.17579	0.0022870
655.00	0.22359	0.0030920	0.16390	0.0016230	0.11376	0.0015410	0.17718	0.0021410
660.00	0.22513	0.0032990	0.16482	0.0016960	0.11445	0.0016110	0.17785	0.0021660
665.00	0.22629	0.0033950	0.16589	0.0016840	0.11503	0.0016070	0.17899	0.0019480
670.00	0.22798	0.0035450	0.16707	0.0016740	0.11600	0.0016440	0.17995	0.0019630
675.00	0.22902	0.0035210	0.16784	0.0017450	0.11689	0.0015470	0.18081	0.0017980
680.00	0.23063	0.0037670	0.16912	0.0017010	0.11774	0.0016230	0.18173	0.0017940
685.00	0.23176	0.0037720	0.16996	0.0016880	0.11895	0.0016620	0.18264	0.0017210
690.00	0.23268	0.0041290	0.17069	0.0017880	0.11960	0.0018860	0.18364	0.0018360
695.00	0.23487	0.0040870	0.17200	0.0016860	0.12012	0.0017370	0.18429	0.0016940
700.00	0.23546	0.0042410	0.17281	0.0017900	0.12116	0.0018710	0.18598	0.0018230
705.00	0.23734	0.0042220	0.17387	0.0018050	0.12197	0.0018890	0.18632	0.0017620
