Wavelength	61221 <10	sd	61221 10-20	sd	61221 20-45	sd	61221 <45	sd
300.00	0.22102	0.083445	0.20329	0.083910	0.15986	0.091004	0.20642	0.090777
305.00	0.22217	0.055155	0.20765	0.055631	0.16309	0.059630	0.21152	0.060044
310.00	0.22463	0.039938	0.20861	0.040091	0.16725	0.043264	0.21523	0.043044
315.00	0.22809	0.030793	0.21412	0.031479	0.16916	0.032750	0.21947	0.033501
320.00	0.23234	0.023838	0.21795	0.024416	0.17270	0.026091	0.22488	0.025918
325.00	0.23647	0.019874	0.22073	0.020873	0.17697	0.020761	0.22828	0.021263
330.00	0.24239	0.016317	0.22651	0.017577	0.17998	0.017151	0.23380	0.017625
335.00	0.24752	0.013912	0.23263	0.015430	0.18487	0.014508	0.23957	0.014819
340.00	0.25305	0.011783	0.23766	0.013638	0.18966	0.012269	0.24503	0.012557
345.00	0.25769	0.010552	0.24262	0.012640	0.19459	0.010408	0.24926	0.010745
350.00	0.26311	0.0092190	0.24802	0.011571	0.19910	0.0086990	0.25466	0.0091380
355.00	0.26757	0.0081750	0.25354	0.010375	0.20420	0.0075060	0.25889	0.0076650
360.00	0.27340	0.0073670	0.25901	0.010248	0.20980	0.0066280	0.26416	0.0070250
365.00	0.27806	0.0065090	0.26359	0.010599	0.21331	0.0058330	0.26796	0.0061990
370.00	0.28276	0.0062980	0.26853	0.010480	0.21742	0.0051830	0.27205	0.0056500
375.00	0.28749	0.0061870	0.27198	0.010512	0.22108	0.0048570	0.27566	0.0052550
380.00	0.29182	0.0060990	0.27653	0.010276	0.22515	0.0046470	0.27972	0.0050980
385.00	0.29531	0.0061280	0.28015	0.010780	0.22862	0.0047050	0.28399	0.0051100
390.00	0.29949	0.0065710	0.28370	0.011053	0.23185	0.0050470	0.28754	0.0054630
395.00	0.30243	0.0070710	0.28732	0.011591	0.23524	0.0061290	0.29155	0.0064650
400.00	0.30768	0.0053900	0.28969	0.010408	0.23797	0.0035350	0.29416	0.0039770
405.00	0.31128	0.0051140	0.29267	0.0098700	0.24076	0.0032150	0.29677	0.0037130
410.00	0.31410	0.0051610	0.29516	0.0099610	0.24327	0.0030790	0.29915	0.0035620
415.00	0.31709	0.0051080	0.29763	0.0098730	0.24547	0.0030670	0.30204	0.0035120
420.00	0.32028	0.0051610	0.30046	0.0098960	0.24733	0.0029010	0.30421	0.0034550
425.00	0.32280	0.0052140	0.30282	0.010061	0.24933	0.0028320	0.30678	0.0034640
430.00	0.32585	0.0052460	0.30557	0.010136	0.25121	0.0029200	0.30898	0.0033710
435.00	0.32866	0.0052600	0.30838	0.010272	0.25330	0.0029080	0.31137	0.0033080
440.00	0.33105	0.0051530	0.31062	0.010138	0.25463	0.0028130	0.31280	0.0032770
445.00	0.33354	0.0053800	0.31329	0.011045	0.25603	0.0028410	0.31479	0.0033640
450.00	0.33576	0.0052480	0.31483	0.010875	0.25749	0.0028930	0.31636	0.0033270
455.00	0.33752	0.0051660	0.31560	0.011797	0.25882	0.0030380	0.31832	0.0034480
460.00	0.34009	0.0054880	0.31795	0.011696	0.26057	0.0029390	0.32038	0.0033270
465.00	0.34242	0.0054870	0.32037	0.011448	0.26184	0.0029410	0.32193	0.0034330
470.00	0.34426	0.0053310	0.32174	0.011478	0.26344	0.0029900	0.32370	0.0034580
475.00	0.34635	0.0054730	0.32363	0.012131	0.26469	0.0031110	0.32545	0.0036690
480.00	0.34832	0.0053690	0.32489	0.012211	0.26619	0.0029910	0.32713	0.0034500
485.00	0.35060	0.0055700	0.32681	0.011904	0.26774	0.0030010	0.32936	0.0034540
490.00	0.35244	0.0054820	0.32821	0.012161	0.26888	0.0029760	0.33093	0.0034940
495.00	0.35407	0.0058380	0.32965	0.012322	0.27038	0.0030800	0.33286	0.0034390
500.00	0.35640	0.0056350	0.33159	0.012286	0.27169	0.0030960	0.33464	0.0036110
505.00	0.35813	0.0056230	0.33264	0.012360	0.27248	0.0030560	0.33628	0.0036670
510.00	0.35964	0.0057870	0.33469	0.012504	0.27461	0.0031650	0.33852	0.0036350
515.00	0.36176	0.0055220	0.33637	0.012652	0.27645	0.0030320	0.34027	0.0034410
520.00	0.36323	0.0056890	0.33814	0.012850	0.27832	0.0031770	0.34251	0.0036830
525.00	0.36526	0.0053850	0.33882	0.013312	0.27941	0.0031570	0.34390	0.0037230
530.00	0.36697	0.0055650	0.34094	0.013457	0.28087	0.0031540	0.34545	0.0039940
535.00	0.36867	0.0059080	0.34272	0.012947	0.28237	0.0032890	0.34741	0.0037980
540.00	0.37007	0.0056270	0.34449	0.013250	0.28362	0.0031400	0.34957	0.0036550
545.00	0.37180	0.0057510	0.34546	0.013475	0.28482	0.0030950	0.35124	0.0035150
550.00	0.37312	0.0057730	0.34692	0.013557	0.28583	0.0030110	0.35292	0.0034260
555.00	0.37483	0.0060490	0.34883	0.012950	0.28740	0.0031210	0.35468	0.0035320
560.00	0.37632	0.0059710	0.35030	0.013163	0.28869	0.0034080	0.35599	0.0037050
565.00	0.37803	0.0058270	0.35096	0.013423	0.28985	0.0033710	0.35715	0.0037130
570.00	0.37922	0.0058500	0.35262	0.013268	0.29158	0.0033920	0.35908	0.0034990
575.00	0.38089	0.0059480	0.35386	0.013029	0.29317	0.0034760	0.36024	0.0037510
580.00	0.38235	0.0059460	0.35506	0.013015	0.29394	0.0034650	0.36156	0.0037440
