Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
675.00	0.21856		0.18057	0.0010780	0.14218	0.0018660	0.17260	0.0012850
680.00	0.22020		0.18169	0.0011490	0.14251	0.0019400	0.17322	0.0012880
685.00	0.22101		0.18253	0.0012280	0.14278	0.0018330	0.17446	0.0016900
690.00	0.22288		0.18389	0.0013640	0.14289	0.0018290	0.17508	0.0017250
695.00	0.22392		0.18464	0.0014640	0.14326	0.0012750	0.17626	0.0021640
700.00	0.22517		0.18600	0.0013980	0.14380	0.0013190	0.17702	0.0021240
705.00	0.22646		0.18687	0.0017110	0.14434	0.0017200	0.17767	0.0022110
710.00	0.22721		0.18781	0.0015780	0.14485	0.0017120	0.17868	0.0022810
715.00	0.22891		0.18916	0.0013810	0.14569	0.0022230	0.17947	0.0017100
720.00	0.22990		0.18999	0.0016170	0.14622	0.0019930	0.18071	0.0018200
725.00	0.23040		0.19023	0.0016580	0.14677	0.0019710	0.18155	0.0018460
730.00	0.23149		0.19118	0.0013210	0.14727	0.0019190	0.18257	0.0018710
735.00	0.23302		0.19216	0.0016240	0.14789	0.0020410	0.18329	0.0018260
740.00	0.23395		0.19303	0.0014350	0.14832	0.0021210	0.18417	0.0017780
745.00	0.23505		0.19413	0.0013720	0.14887	0.0023330	0.18522	0.0014750
750.00	0.23668		0.19519	0.0012240	0.14924	0.0023790	0.18582	0.0014740
755.00	0.23726		0.19599	0.0011730	0.14972	0.0022630	0.18712	0.0015230
760.00	0.23889		0.19689	0.0012280	0.15015	0.0022680	0.18763	0.0015900
765.00	0.23980		0.19782	0.0013430	0.15064	0.0022520	0.18868	0.0018560
770.00	0.24140		0.19885	0.0013330	0.15105	0.0025590	0.18907	0.0018650
775.00	0.24206		0.19936	0.0013040	0.15151	0.0021910	0.19022	0.0015070
780.00	0.24332		0.20013	0.0013540	0.15188	0.0020910	0.19082	0.0015750
785.00	0.24466		0.20102	0.0014180	0.15226	0.0017840	0.19168	0.0018660
790.00	0.24549		0.20158	0.0016110	0.15264	0.0015900	0.19276	0.0019050
795.00	0.24715		0.20231	0.0015550	0.15305	0.0020260	0.19294	0.0016770
800.00	0.24774		0.20279	0.0014680	0.15351	0.0024910	0.19386	0.0017650
805.00	0.24909		0.20345	0.0015920	0.15415	0.0025640	0.19463	0.0016390
810.00	0.25029		0.20413	0.0014850	0.15474	0.0025600	0.19518	0.0015940
815.00	0.25064		0.20432	0.0015840	0.15528	0.0019360	0.19595	0.0018470
820.00	0.25234		0.20525	0.0015000	0.15555	0.0021070	0.19597	0.0017750
825.00	0.25287		0.20566	0.0016200	0.15587	0.0025260	0.19724	0.0018340
830.00	0.25449		0.20636	0.0016990	0.15587	0.0021530	0.19723	0.0018770
835.00	0.25488		0.20692	0.0017750	0.15607	0.0020170	0.19805	0.0018590
840.00	0.25626		0.20775	0.0018790	0.15626	0.0022070	0.19818	0.0018530
845.00	0.25706		0.20786	0.0020200	0.15667	0.0017990	0.19868	0.0020130
850.00	0.25766		0.20824	0.0021700	0.15707	0.0025180	0.19938	0.0022760
855.00	0.25821		0.20892	0.0019410	0.15779	0.0025500	0.20004	0.0020970
860.00	0.25918		0.20905	0.0019580	0.15791	0.0024760	0.20033	0.0020960
865.00	0.25982		0.20960	0.0019770	0.15826	0.0025600	0.20132	0.0019830
870.00	0.26075		0.20986	0.0019910	0.15819	0.0024600	0.20180	0.0019560
875.00	0.26109		0.20970	0.0017630	0.15791	0.0024450	0.20169	0.0017120
880.00	0.26211		0.21013	0.0018070	0.15844	0.0025870	0.20143	0.0017600
885.00	0.26254		0.21052	0.0016430	0.15816	0.0023780	0.20272	0.0017380
890.00	0.26357		0.21070	0.0015430	0.15873	0.0022930	0.20219	0.0016110
895.00	0.26411		0.21107	0.0014540	0.15905	0.0025090	0.20355	0.0014930
900.00	0.26527		0.21145	0.0014800	0.15901	0.0023160	0.20367	0.0016040
905.00	0.26625		0.21210	0.0018620	0.16017	0.0025860	0.20393	0.0020910
910.00	0.26647		0.21254	0.0019890	0.16002	0.0025330	0.20456	0.0018260
915.00	0.26748		0.21258	0.0019430	0.16021	0.0025760	0.20488	0.0023670
920.00	0.26792		0.21324	0.0015730	0.16090	0.0024340	0.20551	0.0024400
925.00	0.26847		0.21321	0.0017050	0.16134	0.0022070	0.20657	0.0015500
930.00	0.26942		0.21407	0.0017080	0.16120	0.0027960	0.20658	0.0014140
935.00	0.27017		0.21425	0.0017170	0.16222	0.0023160	0.20732	0.0018920
940.00	0.27128		0.21561	0.0018380	0.16234	0.0021450	0.20767	0.0017990
945.00	0.27210		0.21599	0.0017470	0.16222	0.0021850	0.20884	0.0014900
950.00	0.27263		0.21636	0.0017390	0.16280	0.0024310	0.20957	0.0014990
955.00	0.27402		0.21670	0.0018450	0.16373	0.0024750	0.20975	0.0017730
960.00	0.27410		0.21763	0.0018970	0.16394	0.0023800	0.21056	0.0017200
965.00	0.27561		0.21864	0.0019130	0.16490	0.0020920	0.21132	0.0014290
970.00	0.27635		0.21912	0.0020430	0.16534	0.0020870	0.21240	0.0014090
975.00	0.27734		0.22038	0.0018000	0.16554	0.0022280	0.21281	0.0015820
980.00	0.27810		0.22068	0.0020900	0.16600	0.0021560	0.21349	0.0016940
985.00	0.27921		0.22178	0.0018580	0.16641	0.0021970	0.21482	0.0014280
990.00	0.27995		0.22248	0.0020100	0.16643	0.0021390	0.21584	0.0016040
995.00	0.28098		0.22329	0.0020840	0.16809	0.0026350	0.21619	0.0020600
1000.0	0.28155		0.22379	0.0020320	0.16801	0.0022880	0.21690	0.0017320
1005.0	0.28306		0.22482	0.0021990	0.16958	0.0021410	0.21774	0.0019360
1010.0	0.28342		0.22569	0.0022710	0.16928	0.0023900	0.21919	0.0018640
1015.0	0.28479		0.22705	0.0021270	0.17003	0.0025260	0.21935	0.0015940
1020.0	0.28495		0.22740	0.0023640	0.17055	0.0024240	0.22024	0.0016120
1025.0	0.28634		0.22837	0.0022820	0.17112	0.0022340	0.22099	0.0020790
1030.0	0.28723		0.22939	0.0023220	0.17156	0.0021660	0.22190	0.0019400
1035.0	0.28848		0.23068	0.0023490	0.17259	0.0023720	0.22291	0.0015520
1040.0	0.28915		0.23114	0.0024940	0.17276	0.0022070	0.22347	0.0016150
1045.0	0.28922		0.23188	0.0026110	0.17373	0.0021480	0.22434	0.0018900
1050.0	0.29099		0.23380	0.0024020	0.17427	0.0024460	0.22532	0.0022210
