300	0.046009	0.058447	0.036958	0.057868	0.034067	0.057771	0.041063	0.058139
305	0.048697	0.039156	0.04102	0.038707	0.039934	0.038797	0.043368	0.038746
310	0.051017	0.028433	0.043402	0.028484	0.038763	0.028317	0.044267	0.028564
315	0.052012	0.021104	0.043964	0.021526	0.040396	0.021527	0.045886	0.021434
320	0.052756	0.016251	0.044541	0.016432	0.040949	0.016521	0.04642	0.016332
325	0.053052	0.013048	0.044891	0.013059	0.041276	0.013088	0.047089	0.013062
330	0.054282	0.010611	0.045207	0.010672	0.040461	0.010672	0.046845	0.010673
335	0.054968	0.008928	0.045751	0.008827	0.041008	0.008806	0.047447	0.008816
340	0.055589	0.007209	0.046134	0.007443	0.040933	0.007373	0.048138	0.007442
345	0.056414	0.006154	0.046583	0.00601	0.042014	0.006185	0.048469	0.006025
350	0.057577	0.005171	0.047083	0.005174	0.041314	0.005041	0.049209	0.005235
355	0.059406	0.004409	0.048392	0.004409	0.042118	0.004447	0.049645	0.004446
360	0.059428	0.003629	0.048867	0.003747	0.042825	0.003825	0.051229	0.003791
365	0.061512	0.003246	0.049655	0.003108	0.043488	0.003216	0.051125	0.003137
370	0.063056	0.002888	0.050387	0.002829	0.0434	0.002684	0.052019	0.002823
375	0.064375	0.002545	0.051485	0.002541	0.04457	0.002519	0.053311	0.002535
380	0.066481	0.002336	0.052623	0.002347	0.045133	0.002371	0.054249	0.002365
385	0.067454	0.002279	0.053534	0.002293	0.045503	0.002317	0.055478	0.002336
390	0.069391	0.002592	0.054934	0.00255	0.046179	0.002482	0.056339	0.002594
395	0.070608	0.003194	0.055932	0.003156	0.047565	0.002963	0.057744	0.003151
400	0.072513	0.001534	0.056596	0.00149	0.046993	0.001451	0.057911	0.00158
405	0.073584	0.001248	0.057519	0.001232	0.047635	0.001168	0.058994	0.00131
410	0.075193	0.001042	0.058591	0.001027	0.048213	0.000936	0.059702	0.00114
415	0.076872	0.00094	0.059449	0.000915	0.049231	0.00091	0.060372	0.001039
420	0.077701	0.000905	0.060436	0.000841	0.049293	0.000775	0.06179	0.000968
425	0.08024	0.000853	0.061742	0.000801	0.050058	0.000774	0.062316	0.000952
430	0.081075	0.000787	0.062514	0.000771	0.050327	0.000603	0.063737	0.000945
435	0.082755	0.000748	0.06353	0.000679	0.05115	0.000665	0.064567	0.000936
440	0.084312	0.000768	0.064628	0.000712	0.051417	0.000626	0.065412	0.000909
445	0.085556	0.000737	0.065539	0.000704	0.05238	0.000623	0.066528	0.000905
450	0.087189	0.000766	0.066615	0.000688	0.05237	0.000491	0.067218	0.000903
455	0.08831	0.000694	0.067448	0.000694	0.05312	0.000636	0.068378	0.000898
460	0.089846	0.000657	0.068506	0.000689	0.05368	0.00057	0.069128	0.000881
465	0.090968	0.000674	0.069407	0.000706	0.054492	0.000573	0.07025	0.000885
470	0.092538	0.000801	0.070435	0.000682	0.055134	0.000577	0.071038	0.000882
475	0.093753	0.000806	0.071387	0.000705	0.055266	0.000455	0.072073	0.000921
480	0.09522	0.000784	0.072411	0.000715	0.055813	0.000627	0.072854	0.000936
485	0.096471	0.000774	0.073268	0.000664	0.056789	0.000661	0.073838	0.000909
490	0.097626	0.000878	0.074241	0.000722	0.056739	0.000598	0.07484	0.000952
495	0.099619	0.000835	0.075348	0.000704	0.057511	0.000459	0.075391	0.000897
500	0.10003	0.000896	0.075975	0.00072	0.057661	0.00073	0.07707	0.000923
505	0.10249	0.00092	0.077231	0.000708	0.058951	0.00065	0.077048	0.000777
510	0.10329	0.000854	0.078039	0.000741	0.058907	0.000632	0.078488	0.000829
515	0.10475	0.000908	0.079032	0.00074	0.059769	0.00053	0.079284	0.000871
520	0.10627	0.000972	0.08009	0.00073	0.060058	0.000593	0.080045	0.000885
525	0.1074	0.000995	0.080944	0.000727	0.061753	0.00058	0.081075	0.00081
530	0.10891	0.000931	0.08207	0.000714	0.061741	0.000579	0.081817	0.000813
535	0.10998	0.000948	0.082926	0.000752	0.062973	0.000514	0.083016	0.000968
540	0.11158	0.000855	0.083988	0.000763	0.062813	0.000489	0.083598	0.001009
545	0.11263	0.000849	0.084848	0.000728	0.0635	0.000604	0.084853	0.000867
550	0.11401	0.000973	0.085808	0.000781	0.063458	0.000627	0.085373	0.000884
555	0.11509	0.000943	0.086627	0.000768	0.064492	0.000436	0.08635	0.00104
560	0.11641	0.000845	0.087521	0.000778	0.064784	0.00065	0.086861	0.001022
565	0.11755	0.000842	0.088339	0.000793	0.065698	0.000565	0.087937	0.00111
570	0.11892	0.000955	0.089336	0.000822	0.065735	0.000514	0.088657	0.001108
575	0.12005	0.001014	0.090073	0.000804	0.066494	0.000684	0.089453	0.000957
580	0.1211	0.00113	0.090946	0.000751	0.066822	0.000625	0.090143	0.000948
585	0.12275	0.001198	0.091926	0.000863	0.066745	0.000586	0.090609	0.001007
590	0.12293	0.00108	0.092526	0.000822	0.067449	0.000595	0.092043	0.00102
595	0.12514	0.001058	0.093709	0.000877	0.06766	0.000648	0.091984	0.001162
600	0.12556	0.000995	0.094309	0.00089	0.068281	0.000633	0.093633	0.001198
605	0.12731	0.000924	0.095284	0.000872	0.068912	0.000607	0.093707	0.001319
610	0.12838	0.000871	0.096243	0.000831	0.069258	0.000635	0.094732	0.001358
615	0.12949	0.000883	0.097039	0.000853	0.069947	0.000679	0.095704	0.001271
620	0.1309	0.001091	0.097981	0.000844	0.069895	0.000704	0.096341	0.001322
625	0.13167	0.001006	0.098757	0.000889	0.070964	0.000579	0.097435	0.001054
