Wavelength	14141 <10	sd	14141 10-20	sd	14141 20-45	sd	14141 <45	sd
300.00	0.12686	0.080170	0.093861	0.078811	0.082419	0.077265	0.10279	0.077580
305.00	0.13156	0.050808	0.097497	0.049518	0.082889	0.049492	0.10862	0.049533
310.00	0.13506	0.035027	0.10057	0.035256	0.085313	0.035814	0.11002	0.035109
315.00	0.13798	0.026854	0.10345	0.026750	0.088202	0.026769	0.11312	0.026675
320.00	0.14181	0.020767	0.10503	0.021067	0.089168	0.021057	0.11525	0.021131
325.00	0.14557	0.017298	0.10834	0.016862	0.090812	0.017170	0.11747	0.016811
330.00	0.15038	0.014248	0.11162	0.014164	0.092526	0.013895	0.12085	0.014305
335.00	0.15377	0.011575	0.11493	0.011812	0.094662	0.012079	0.12438	0.012261
340.00	0.15927	0.010296	0.11883	0.0099860	0.096912	0.010080	0.12667	0.0097540
345.00	0.16377	0.0086620	0.12140	0.0085230	0.099749	0.0083390	0.13057	0.0084530
350.00	0.16878	0.0071690	0.12639	0.0071390	0.10153	0.0070440	0.13449	0.0071360
355.00	0.17324	0.0060710	0.13034	0.0060730	0.10482	0.0059460	0.13862	0.0058860
360.00	0.17828	0.0053650	0.13489	0.0050700	0.10801	0.0049630	0.14256	0.0049740
365.00	0.18303	0.0046130	0.13842	0.0043790	0.11150	0.0042780	0.14646	0.0043110
370.00	0.18720	0.0041820	0.14251	0.0038970	0.11437	0.0037880	0.15019	0.0037840
375.00	0.19190	0.0037600	0.14606	0.0034470	0.11728	0.0033780	0.15342	0.0034520
380.00	0.19500	0.0038190	0.14885	0.0033850	0.12024	0.0033030	0.15750	0.0032660
385.00	0.19930	0.0039090	0.15230	0.0032950	0.12202	0.0032800	0.16028	0.0032940
390.00	0.20249	0.0040960	0.15550	0.0036380	0.12448	0.0036310	0.16382	0.0036920
395.00	0.20546	0.0048400	0.15857	0.0045630	0.12702	0.0046700	0.16734	0.0043920
400.00	0.20844	0.0029880	0.16208	0.0022740	0.13036	0.0023130	0.17000	0.0023250
405.00	0.21148	0.0028040	0.16453	0.0020000	0.13287	0.0020520	0.17274	0.0019560
410.00	0.21518	0.0027820	0.16766	0.0018650	0.13493	0.0020400	0.17528	0.0017500
415.00	0.21820	0.0027290	0.17024	0.0017900	0.13699	0.0020510	0.17798	0.0017070
420.00	0.22122	0.0027520	0.17274	0.0017380	0.13857	0.0015630	0.18014	0.0016940
425.00	0.22418	0.0026600	0.17497	0.0016370	0.14062	0.0019520	0.18253	0.0014770
430.00	0.22713	0.0026960	0.17755	0.0016680	0.14226	0.0021080	0.18478	0.0014360
435.00	0.23001	0.0027570	0.17979	0.0016980	0.14344	0.0019690	0.18670	0.0013730
440.00	0.23257	0.0028450	0.18193	0.0018590	0.14562	0.0020240	0.18919	0.0014010
445.00	0.23555	0.0027270	0.18396	0.0017530	0.14657	0.0020690	0.19061	0.0014920
450.00	0.23718	0.0028810	0.18581	0.0017260	0.14850	0.0018790	0.19282	0.0014770
455.00	0.24030	0.0029770	0.18791	0.0017800	0.14931	0.0014880	0.19444	0.0014980
460.00	0.24163	0.0028950	0.18928	0.0018610	0.15071	0.0011900	0.19625	0.0015760
465.00	0.24437	0.0029840	0.19127	0.0018920	0.15077	0.0016760	0.19774	0.0017210
470.00	0.24610	0.0030590	0.19255	0.0019390	0.15228	0.0014790	0.19957	0.0017860
475.00	0.24868	0.0029840	0.19441	0.0017960	0.15362	0.0021430	0.20118	0.0018580
480.00	0.25091	0.0031260	0.19597	0.0018220	0.15504	0.0019370	0.20275	0.0018560
485.00	0.25290	0.0031690	0.19735	0.0017930	0.15578	0.0017110	0.20421	0.0019280
490.00	0.25523	0.0031900	0.19903	0.0017840	0.15707	0.0013540	0.20577	0.0019500
495.00	0.25744	0.0032110	0.20061	0.0017950	0.15923	0.0015620	0.20762	0.0019860
500.00	0.25954	0.0031570	0.20195	0.0017780	0.16013	0.0017050	0.20862	0.0019680
505.00	0.26136	0.0031760	0.20315	0.0017520	0.15933	0.0015300	0.20969	0.0017030
510.00	0.26349	0.0032270	0.20483	0.0017490	0.16145	0.0018590	0.21154	0.0017140
515.00	0.26554	0.0032610	0.20675	0.0017300	0.16282	0.0018060	0.21345	0.0016330
520.00	0.26754	0.0034040	0.20833	0.0017390	0.16369	0.0022050	0.21498	0.0016480
525.00	0.27005	0.0033060	0.21005	0.0017760	0.16612	0.0019380	0.21663	0.0017110
530.00	0.27129	0.0033780	0.21134	0.0017700	0.16707	0.0020600	0.21799	0.0018620
535.00	0.27338	0.0032990	0.21304	0.0017940	0.16740	0.0017120	0.21900	0.0016180
540.00	0.27437	0.0033010	0.21404	0.0017650	0.16848	0.0016510	0.22049	0.0017680
545.00	0.27654	0.0034040	0.21551	0.0017660	0.16851	0.0019260	0.22169	0.0021230
550.00	0.27733	0.0033110	0.21671	0.0018340	0.16954	0.0016370	0.22280	0.0020930
555.00	0.27905	0.0032570	0.21846	0.0019450	0.17087	0.0020090	0.22378	0.0020540
560.00	0.28053	0.0034500	0.21995	0.0018650	0.17240	0.0019010	0.22536	0.0023320
565.00	0.28244	0.0033780	0.22117	0.0017950	0.17213	0.0019240	0.22618	0.0017430
570.00	0.28330	0.0032620	0.22249	0.0017940	0.17308	0.0021270	0.22746	0.0017770
575.00	0.28565	0.0032670	0.22394	0.0018590	0.17424	0.0020680	0.22867	0.0021030
580.00	0.28672	0.0035900	0.22489	0.0019230	0.17511	0.0015770	0.22995	0.0022790
585.00	0.28838	0.0035070	0.22635	0.0018750	0.17533	0.0024490	0.23086	0.0020860
590.00	0.28918	0.0036420	0.22728	0.0020180	0.17669	0.0025110	0.23157	0.0020460
595.00	0.29107	0.0036520	0.22889	0.0019440	0.17780	0.0024360	0.23285	0.0020100
600.00	0.29199	0.0036480	0.22982	0.0019850	0.17872	0.0023620	0.23374	0.0020580
605.00	0.29432	0.0036360	0.23097	0.0020810	0.17947	0.0022100	0.23507	0.0022210
610.00	0.29497	0.0036650	0.23203	0.0020410	0.18010	0.0021740	0.23582	0.0021870
615.00	0.29623	0.0038570	0.23334	0.0021450	0.18154	0.0018290	0.23736	0.0020580
620.00	0.29748	0.0038550	0.23440	0.0022150	0.18185	0.0015800	0.23806	0.0019820
625.00	0.29818	0.0039640	0.23539	0.0021660	0.18287	0.0018480	0.23941	0.0023670
630.00	0.29962	0.0038180	0.23633	0.0021490	0.18310	0.0020320	0.24018	0.0023640
635.00	0.30043	0.0039110	0.23727	0.0021990	0.18305	0.0015990	0.24122	0.0020570
640.00	0.30181	0.0037770	0.23827	0.0021950	0.18419	0.0015520	0.24204	0.0019940
645.00	0.30285	0.0039750	0.23915	0.0021930	0.18646	0.0014180	0.24328	0.0024200
650.00	0.30438	0.0039460	0.23998	0.0021420	0.18642	0.0015540	0.24406	0.0024870
655.00	0.30565	0.0041060	0.24122	0.0021940	0.18674	0.0019940	0.24540	0.0021280
660.00	0.30698	0.0039730	0.24183	0.0022690	0.18758	0.0015000	0.24593	0.0021580
665.00	0.30843	0.0038670	0.24281	0.0021650	0.18818	0.0012780	0.24701	0.0024240
670.00	0.30990	0.0039320	0.24369	0.0020840	0.18920	0.0015270	0.24799	0.0024410
675.00	0.31140	0.0040200	0.24457	0.0021240	0.19004	0.0015390	0.24892	0.0024890
680.00	0.31212	0.0040910	0.24528	0.0019890	0.19097	0.0016720	0.25006	0.0024540
685.00	0.31374	0.0041090	0.24608	0.0019690	0.19286	0.0017330	0.25077	0.0021800
690.00	0.31460	0.0042590	0.24713	0.0019780	0.19402	0.0014860	0.25176	0.0021990
695.00	0.31590	0.0044790	0.24804	0.0020830	0.19392	0.0018500	0.25253	0.0020390
700.00	0.31663	0.0041860	0.24882	0.0020290	0.19527	0.0019200	0.25369	0.0019380
705.00	0.31823	0.0042380	0.25003	0.0020200	0.19651	0.0019970	0.25481	0.0018250
710.00	0.31931	0.0041650	0.25095	0.0020950	0.19696	0.0022460	0.25567	0.0018970
715.00	0.32029	0.0042150	0.25149	0.0020930	0.19827	0.0017960	0.25657	0.0018560
720.00	0.32178	0.0042370	0.25301	0.0021290	0.19902	0.0019210	0.25733	0.0017700
725.00	0.32327	0.0042530	0.25355	0.0021440	0.19887	0.0021080	0.25874	0.0017480
730.00	0.32515	0.0041970	0.25506	0.0020430	0.19876	0.0023900	0.25920	0.0016690
