Wavelength	14260<10	sd	14260 10-20	sd	14260 20-45	sd	14260 <45	sd
300.00	0.044018		0.041362		0.035638		0.041153	
305.00	0.043844		0.041039		0.035280		0.040104	
310.00	0.043875		0.041102		0.035106		0.040250	
315.00	0.044178		0.040967		0.035559		0.040254	
320.00	0.044897		0.041449		0.035620		0.040819	
325.00	0.045809		0.042733		0.036111		0.041669	
330.00	0.046629		0.043682		0.036756		0.042364	
335.00	0.047668		0.044228		0.037238		0.042953	
340.00	0.048767		0.045070		0.037689		0.043771	
345.00	0.049687		0.045817		0.038324		0.044476	
350.00	0.050661		0.046333		0.038751		0.045494	
355.00	0.051747		0.047352		0.039383		0.046371	
360.00	0.052778	0.00036700	0.047882	0.00065700	0.039939	0.00031900	0.047174	0.00050200
365.00	0.054089	0.00035900	0.048802	0.00039600	0.040682	0.00028500	0.048158	0.00048600
370.00	0.055173	0.00034800	0.049653	0.00065900	0.041269	0.00026600	0.049054	0.00044700
375.00	0.056399	0.00068600	0.050407	0.0010620	0.041991	0.00054500	0.050037	0.00084200
380.00	0.057609	0.00067600	0.051471	0.0016100	0.042458	0.00056500	0.051010	0.00076500
385.00	0.059013	0.00033600	0.051970	0.00048800	0.043384	0.00026100	0.052161	0.00038700
390.00	0.060131	0.00038600	0.052964	0.00078100	0.043610	0.00029800	0.053050	0.00041400
395.00	0.061080	0.00037900	0.053620	0.00054700	0.044147	0.00029600	0.053937	0.00042300
400.00	0.062464	0.00056100	0.054538	0.00053800	0.044939	0.00047700	0.055058	0.00061000
405.00	0.063533		0.055371		0.045454		0.055620	
410.00	0.064578		0.056382		0.045809		0.056538	
415.00	0.065935		0.057459		0.046515		0.057392	
420.00	0.067031		0.057941		0.046998		0.058283	
425.00	0.068322		0.059358		0.047681		0.059236	
430.00	0.069652		0.059989		0.048023		0.060174	
435.00	0.070994		0.061322		0.048756		0.061145	
440.00	0.072293		0.062307		0.049337		0.062096	
445.00	0.073543		0.063086		0.049946		0.062994	
450.00	0.074816		0.064306		0.050488		0.063983	
455.00	0.076045		0.064966		0.051102		0.064868	
460.00	0.077246		0.066345		0.051625		0.065800	
465.00	0.078570		0.067038		0.052238		0.066692	
470.00	0.079801		0.068462		0.052828		0.067625	
475.00	0.081062		0.069027		0.053402		0.068560	
480.00	0.082319		0.070384		0.053913		0.069422	
485.00	0.083530		0.071666		0.054499		0.070320	
490.00	0.084740		0.072912		0.055099		0.071265	
495.00	0.085945		0.073402		0.055560		0.071918	
500.00	0.087079		0.074801		0.055995		0.072846	
505.00	0.088273		0.075230		0.056534		0.073664	
510.00	0.089539		0.076708		0.057175		0.074620	
515.00	0.090758		0.077815		0.057894		0.075623	
520.00	0.091957		0.078667		0.058442		0.076559	
525.00	0.093237		0.080094		0.059044		0.077554	
530.00	0.094324		0.080750		0.059692		0.078442	
535.00	0.095516		0.081415		0.060117		0.079049	
540.00	0.096555		0.082803		0.060608		0.079985	
545.00	0.097676		0.083580		0.061136		0.080853	
550.00	0.098815		0.084338		0.061639		0.081741	
555.00	0.099881		0.085474		0.062150		0.082428	
560.00	0.10101		0.086816		0.062738		0.083317	
565.00	0.10219		0.087393		0.063160		0.084072	
570.00	0.10332		0.088203		0.063633		0.084836	
575.00	0.10442		0.089685		0.064237		0.085793	
580.00	0.10547		0.090615		0.064570		0.086634	
585.00	0.10664		0.091664		0.065086		0.087486	
590.00	0.10767		0.092422		0.065513		0.088298	
595.00	0.10881		0.092876		0.066390		0.088812	
600.00	0.10973		0.094027		0.066752		0.089634	
605.00	0.11090		0.095141		0.067320		0.090459	
610.00	0.11191		0.095456		0.067778		0.091278	
615.00	0.11294		0.096447		0.068087		0.092159	
620.00	0.11377		0.097629		0.068443		0.092861	
625.00	0.11480		0.097734		0.069069		0.093568	
630.00	0.11576		0.098784		0.069421		0.094438	
635.00	0.11672		0.099631		0.069919		0.095120	
640.00	0.11760		0.10042		0.070327		0.095910	
645.00	0.11860		0.10094		0.070794		0.096564	
650.00	0.11975		0.10171		0.071293		0.097308	
655.00	0.12067		0.10292		0.071615		0.098192	
660.00	0.12161		0.10402		0.072057		0.098881	
665.00	0.12248		0.10429		0.072500		0.099365	
670.00	0.12358		0.10545		0.072871		0.10017	
675.00	0.12455		0.10682		0.073414		0.10095	
680.00	0.12529		0.10745		0.073753		0.10163	
685.00	0.12639		0.10816		0.074223		0.10237	
690.00	0.12746		0.10903		0.074575		0.10299	
695.00	0.12827		0.11026		0.075033		0.10375	
700.00	0.12928		0.11100		0.075352		0.10450	
705.00	0.13024		0.11165		0.075820		0.10503	
710.00	0.13104		0.11271		0.076215		0.10569	
715.00	0.13188		0.11285		0.076617		0.10635	
720.00	0.13279		0.11396		0.077069		0.10709	
725.00	0.13413		0.11508		0.077434		0.10753	
730.00	0.13449		0.11563		0.077819		0.10825	
735.00	0.13573		0.11651		0.078222		0.10889	
740.00	0.13642		0.11697		0.078510		0.10968	
745.00	0.13752		0.11713		0.078827		0.11004	
750.00	0.13857		0.11795		0.079298		0.11088	
755.00	0.13951		0.11939		0.079671		0.11167	
760.00	0.14029		0.11996		0.079703		0.11214	
765.00	0.14113		0.12014		0.080304		0.11256	
