Wavelength	14163 <10	sd	14163 10-20	sd	14163 20-45	sd	14163 <45	sd
300.00	0.072126	0.056420	0.047771	0.054760	0.042040	0.012707	0.058895	0.055672
305.00	0.076592	0.037115	0.054474	0.037413	0.041553	0.0084460	0.060845	0.037395
310.00	0.078475	0.026047	0.055180	0.027033	0.041384	0.0060100	0.064580	0.026621
315.00	0.079528	0.019956	0.057895	0.019913	0.042045	0.0047270	0.066236	0.019741
320.00	0.081070	0.015764	0.058131	0.015688	0.042372	0.0036730	0.067014	0.015845
325.00	0.081936	0.012819	0.058678	0.012776	0.042851	0.0030100	0.067277	0.012705
330.00	0.082864	0.010220	0.059725	0.010485	0.043965	0.0026090	0.068559	0.010510
335.00	0.084550	0.0088230	0.061082	0.0086670	0.044782	0.0022370	0.069080	0.0085260
340.00	0.086224	0.0073650	0.061276	0.0071810	0.045422	0.0018770	0.069606	0.0073630
345.00	0.087435	0.0061420	0.062254	0.0062210	0.046287	0.0016630	0.071335	0.0061520
350.00	0.088582	0.0052470	0.063875	0.0051660	0.047375	0.0014850	0.072483	0.0051680
355.00	0.090552	0.0043690	0.064768	0.0041810	0.048413	0.0013530	0.073439	0.0043770
360.00	0.092939	0.0037050	0.065807	0.0036320	0.049608	0.0012040	0.075077	0.0037010
365.00	0.094900	0.0031170	0.067226	0.0031130	0.050697	0.0011350	0.076506	0.0031260
370.00	0.096914	0.0027060	0.068954	0.0027040	0.051847	0.0010660	0.078125	0.0026650
375.00	0.098509	0.0024850	0.070285	0.0023590	0.052752	0.0010400	0.079774	0.0024610
380.00	0.10060	0.0023040	0.071704	0.0022660	0.053993	0.0011030	0.080986	0.0022460
385.00	0.10251	0.0023040	0.073223	0.0022590	0.055090	0.0010370	0.082537	0.0022240
390.00	0.10439	0.0025570	0.074427	0.0024800	0.056089	0.0010960	0.084259	0.0025160
395.00	0.10653	0.0031430	0.075756	0.0031070	0.057375	0.0014200	0.086119	0.0032010
400.00	0.10821	0.0066880	0.076824	0.0066960	0.058452	0.0018430	0.087120	0.0066380
405.00	0.10999	0.010596	0.078014	0.010250	0.059370	0.0020760	0.088211	0.010490
410.00	0.11167	0.017228	0.079200	0.017203	0.060321	0.0013590	0.089199	0.017246
415.00	0.11339	0.00099300	0.080369	0.00089400	0.061336	0.0012480	0.090320	0.0010890
420.00	0.11497	0.00095300	0.081461	0.00082200	0.062268	0.0012090	0.091619	0.0010140
425.00	0.11678	0.00091400	0.082631	0.00074800	0.063283	0.0011880	0.093017	0.00098300
430.00	0.11879	0.00095000	0.083807	0.00078600	0.064133	0.0011550	0.093900	0.0010240
435.00	0.11958	0.00098700	0.084756	0.00076400	0.065009	0.0011420	0.096021	0.0010560
440.00	0.12229	0.0010010	0.086117	0.00080300	0.065913	0.0011570	0.096091	0.0010930
445.00	0.12290	0.00087600	0.086829	0.00074300	0.066847	0.0012330	0.098316	0.0010920
450.00	0.12515	0.00082400	0.088055	0.00068500	0.067693	0.0012090	0.098975	0.00098400
455.00	0.12630	0.00081800	0.088929	0.00067800	0.068569	0.0012320	0.10018	0.00096000
460.00	0.12775	0.00081500	0.089973	0.00067600	0.069446	0.0012840	0.10140	0.00090500
465.00	0.12940	0.00089200	0.091079	0.00069200	0.070290	0.0012440	0.10239	0.00094700
470.00	0.13068	0.00087000	0.092065	0.00067200	0.071248	0.0012820	0.10369	0.0010880
475.00	0.13227	0.00084500	0.092984	0.00066100	0.072097	0.0012790	0.10453	0.0011180
480.00	0.13347	0.00083800	0.093966	0.00068100	0.073042	0.0013410	0.10584	0.00099100
485.00	0.13505	0.00088700	0.095003	0.00068000	0.074050	0.0013610	0.10676	0.00099200
490.00	0.13639	0.00087800	0.095869	0.00069200	0.074923	0.0013890	0.10790	0.0010550
495.00	0.13797	0.00091800	0.096932	0.00070600	0.075719	0.0014250	0.10902	0.0011200
500.00	0.13918	0.00092300	0.097767	0.00069900	0.076886	0.0014520	0.11020	0.0011180
505.00	0.14053	0.00082500	0.098518	0.00069900	0.077500	0.0014610	0.11089	0.0011200
510.00	0.14188	0.00087600	0.099564	0.00070400	0.078490	0.0014950	0.11216	0.0011580
515.00	0.14322	0.00092900	0.10057	0.00075000	0.079620	0.0015190	0.11315	0.0012190
520.00	0.14438	0.00095100	0.10151	0.00077200	0.080618	0.0015470	0.11426	0.0013770
525.00	0.14594	0.00088100	0.10248	0.00076000	0.081565	0.0015680	0.11520	0.0013540
530.00	0.14727	0.00088900	0.10350	0.00076200	0.082506	0.0016160	0.11638	0.0012220
535.00	0.14867	0.00095300	0.10438	0.00075300	0.083319	0.0015660	0.11745	0.0012140
540.00	0.14985	0.00092400	0.10522	0.00078500	0.084107	0.0015920	0.11843	0.0010650
545.00	0.15113	0.00099300	0.10603	0.00080600	0.084929	0.0015530	0.11933	0.0010790
550.00	0.15267	0.0010120	0.10701	0.00084300	0.085643	0.0016220	0.12019	0.0012020
555.00	0.15328	0.0011340	0.10768	0.00093300	0.086298	0.0015950	0.12168	0.0012620
560.00	0.15542	0.0010700	0.10871	0.00085200	0.087094	0.0015500	0.12163	0.0014070
565.00	0.15548	0.0010430	0.10914	0.00091200	0.087756	0.0016370	0.12354	0.0014100
570.00	0.15816	0.0010370	0.11051	0.00085200	0.088422	0.0016090	0.12332	0.0013640
575.00	0.15857	0.00093600	0.11098	0.00087300	0.088992	0.0015970	0.12497	0.0013580
580.00	0.16012	0.00091100	0.11200	0.00083300	0.089590	0.0016600	0.12535	0.0012110
585.00	0.16110	0.00097600	0.11267	0.00087100	0.090086	0.0016380	0.12619	0.0012600
