Wavelength	14259 <10	sd	14259 10-20	sd	14259 20-45	sd	14259 <45	sd
300.00	0.046009	0.058447	0.036958	0.057868	0.034067	0.057771	0.041063	0.058139
305.00	0.048697	0.039156	0.041020	0.038707	0.039934	0.038797	0.043368	0.038746
310.00	0.051017	0.028433	0.043402	0.028484	0.038763	0.028317	0.044267	0.028564
315.00	0.052012	0.021104	0.043964	0.021526	0.040396	0.021527	0.045886	0.021434
320.00	0.052756	0.016251	0.044541	0.016432	0.040949	0.016521	0.046420	0.016332
325.00	0.053052	0.013048	0.044891	0.013059	0.041276	0.013088	0.047089	0.013062
330.00	0.054282	0.010611	0.045207	0.010672	0.040461	0.010672	0.046845	0.010673
335.00	0.054968	0.0089280	0.045751	0.0088270	0.041008	0.0088060	0.047447	0.0088160
340.00	0.055589	0.0072090	0.046134	0.0074430	0.040933	0.0073730	0.048138	0.0074420
345.00	0.056414	0.0061540	0.046583	0.0060100	0.042014	0.0061850	0.048469	0.0060250
350.00	0.057577	0.0051710	0.047083	0.0051740	0.041314	0.0050410	0.049209	0.0052350
355.00	0.059406	0.0044090	0.048392	0.0044090	0.042118	0.0044470	0.049645	0.0044460
360.00	0.059428	0.0036290	0.048867	0.0037470	0.042825	0.0038250	0.051229	0.0037910
365.00	0.061512	0.0032460	0.049655	0.0031080	0.043488	0.0032160	0.051125	0.0031370
370.00	0.063056	0.0028880	0.050387	0.0028290	0.043400	0.0026840	0.052019	0.0028230
375.00	0.064375	0.0025450	0.051485	0.0025410	0.044570	0.0025190	0.053311	0.0025350
380.00	0.066481	0.0023360	0.052623	0.0023470	0.045133	0.0023710	0.054249	0.0023650
385.00	0.067454	0.0022790	0.053534	0.0022930	0.045503	0.0023170	0.055478	0.0023360
390.00	0.069391	0.0025920	0.054934	0.0025500	0.046179	0.0024820	0.056339	0.0025940
395.00	0.070608	0.0031940	0.055932	0.0031560	0.047565	0.0029630	0.057744	0.0031510
400.00	0.072513	0.0015340	0.056596	0.0014900	0.046993	0.0014510	0.057911	0.0015800
405.00	0.073584	0.0012480	0.057519	0.0012320	0.047635	0.0011680	0.058994	0.0013100
410.00	0.075193	0.0010420	0.058591	0.0010270	0.048213	0.00093600	0.059702	0.0011400
415.00	0.076872	0.00094000	0.059449	0.00091500	0.049231	0.00091000	0.060372	0.0010390
420.00	0.077701	0.00090500	0.060436	0.00084100	0.049293	0.00077500	0.061790	0.00096800
425.00	0.080240	0.00085300	0.061742	0.00080100	0.050058	0.00077400	0.062316	0.00095200
430.00	0.081075	0.00078700	0.062514	0.00077100	0.050327	0.00060300	0.063737	0.00094500
435.00	0.082755	0.00074800	0.063530	0.00067900	0.051150	0.00066500	0.064567	0.00093600
440.00	0.084312	0.00076800	0.064628	0.00071200	0.051417	0.00062600	0.065412	0.00090900
445.00	0.085556	0.00073700	0.065539	0.00070400	0.052380	0.00062300	0.066528	0.00090500
450.00	0.087189	0.00076600	0.066615	0.00068800	0.052370	0.00049100	0.067218	0.00090300
455.00	0.088310	0.00069400	0.067448	0.00069400	0.053120	0.00063600	0.068378	0.00089800
460.00	0.089846	0.00065700	0.068506	0.00068900	0.053680	0.00057000	0.069128	0.00088100
465.00	0.090968	0.00067400	0.069407	0.00070600	0.054492	0.00057300	0.070250	0.00088500
